Title,,Genre,Available Globally?,Release Date,Hours Viewed
The Walking Dead: Season 11,,Thriller,No,,"136,800,000"
Bridgerton: Season 1,,Romance,Yes,2020-12-25,"136,600,000"
CoComelon: Season 1,,Children,No,2020-05-31,"136,200,000"
Extraordinary Attorney Woo: Season 1 // 이상한 변호사 우영우: 시즌 1,N,Comedy,Yes,2022-06-29,"135,900,000"
The Snow Girl: Season 1 // La chica de nieve: Temporada 1,N,Drama,Yes,2023-01-27,"134,800,000"
Stranger Things 4,,Thriller,Yes,2022-05-27,"133,600,000"
The Marked Heart: Season 1 // Pálpito: Temporada 1,N,Thriller,Yes,2022-04-20,"133,500,000"
Bridgerton: Season 2,,Drama,Yes,2022-03-25,"133,400,000"
Little Angel: Volume 1,,Children,Yes,,"132,100,000"
PAW Patrol: Season 5,,Children,No,,"130,700,000"
Pasión de Gavilanes: Season 1,,Drama,No,,"129,200,000"
Suits (2011): Season 1,,Drama,Yes,,"129,100,000"
Sex/Life: Season 1,,Drama,Yes,2021-06-25,"126,400,000"
We Have a Ghost,,Comedy,Yes,2023-02-24,"124,400,000"
You: Season 1,,Thriller,Yes,2018-12-26,"123,500,000"
Business Proposal: Season 1 // 사내맞선: 시즌 1,N,Drama,Yes,2022-02-28,"120,700,000"
The Pale Blue Eye,,Mystery,Yes,2023-01-06,"120,500,000"
Crash Landing on You: Season 1 // 사랑의 불시착: 시즌 1,N,Drama,Yes,2019-12-14,"120,300,000"
AKA,,Drama,Yes,2023-04-28,"120,000,000"
MH370: The Plane That Disappeared: Limited Series,,Mystery,Yes,2023-03-08,"118,900,000"
Queenmaker: Season 1 // 퀸메이커: 시즌 1,N,Drama,Yes,2023-04-14,"118,600,000"
Vikings: Valhalla: Season 1,,Drama,Yes,2022-02-25,"116,500,000"
Breaking Bad: Season 2,,Drama,No,,"116,200,000"
Muted: Limited Series // El silencio: Miniserie,N,Crime,Yes,2023-05-19,"115,800,000"
Lockwood & Co.: Season 1,,Crime,Yes,2023-01-27,"113,600,000"
You: Season 3,,Thriller,Yes,2021-10-15,"107,200,000"
Breaking Bad: Season 5,,Drama,No,,"107,000,000"
Suits (2011): Season 2,,Drama,Yes,,"106,600,000"
