Quarter,Disney + Sub Change Q2Q,Netflix Sub Change Q2Q,Hulu Sub Change Q2Q,Peacock Subs Change Q2Q
19Q2,,2.7,2.4,
19Q3,,6.77,2.7,
19Q4,,8.76,0.6,
20Q1,26.5,15.77,1.9,
20Q2,7,10.09,1.70,
20Q3,27,2.2,3.40,
20Q4,13.2,8.51,1.10,
21Q1,21.2,3.98,2.80,
21Q2,8.7,1.54,2.20,4
21Q3,12.4,4.38,1.20,3
21Q4,2.1,8.28,1.00,3
22Q1,11.7,-0.2,1.50,4
22Q2,7.9,-0.97,0.30,0
22Q3,14.4,2.42,0.60,3
22Q4,12.1,7.66,1.00,5
23Q1,-2.4,1.75,0.80,1
23Q2,-4,5.89,0.20,2
23Q3,-11.7,8.76,0.10,4
,,,,
